case,seed,member,xline_all_values,yline_all_values,X_all_values,area_per_wavelength_mm,inertia_per_wavelength_mm3,effective_Ez_MPa,radius_1_mm,radius_2_mm,feasible,constraint_violation,pareto_member_within_seed,cross_seed_pareto
C034,3,1,0.09507159690854647,1541.6952449234032,"[0.1, 10.0, 6.881945686725645, 10.0, 6.071166276764678, 0.0509652508373709, 0.11120007319492063, 7.9, 2.2, 0.15]",0.47535798454273237,0.5662283637059219,0.6486366247109256,1.0073177089679393,1.0375846551997687,True,0.0,True,True
C034,3,34,0.09508537437739097,1536.8906288896399,"[0.1, 10.0, 7.002012550253853, 10.0, 6.245272915164469, 0.047125513551012875, 0.022498751734017233, 7.9, 2.2, 0.15]",0.4754268718869548,0.5666469721802291,0.6506643876945699,1.0587411175245365,1.0587411175245365,True,0.0,True,True
C034,3,33,0.09509444064405963,1516.1558747419035,"[0.1, 10.0, 6.918366325267296, 10.0, 6.444583327244292, 0.058538892020723404, 0.2004238272132074, 7.9, 2.2, 0.15]",0.47547220322029815,0.5665257928004616,0.6595627907785081,0.9695182244479633,1.1181459206526487,True,0.0,True,True
C034,3,30,0.09512265653114511,1502.486956417006,"[0.1, 10.0, 7.1011588211909205, 10.0, 6.819131808169512, 0.05532360974332222, 0.162554307118343, 7.9, 2.2, 0.15]",0.47561328265572556,0.5674047449048811,0.6655631822486558,1.1117886079621375,1.2179287102491922,True,0.0,True,True
C034,3,36,0.09515119906524823,1365.126685066695,"[0.1, 10.0, 5.980633042921825, 9.161889615785542, 7.81609007701997, 0.0, 0.0, 7.899911357465944, 2.2, 0.15]",0.47575599532624113,0.5680433484940886,0.7325327465495582,0.9591520188832185,1.6460586515606594,True,0.0,True,True
C034,3,8,0.09522299657409787,1307.151747343168,"[0.1, 10.0, 6.461616281141687, 9.957988345335792, 9.35768597036854, 0.058310289556796124, 0.07123599864206012, 7.9, 2.2, 0.15]",0.47611498287048937,0.5697113440919569,0.7650221193006361,0.946892941716759,1.9755885285174017,True,0.0,True,True
C034,11,0,0.09525682443274797,1271.1480327521108,"[0.1, 10.0, 6.4749899220454346, 10.0, 10.0, 0.0, 0.0, 7.9, 2.2, 0.15]",0.47628412216373983,0.5703372077721888,0.7866904359163746,0.9165703279178011,2.151796605593858,True,0.0,True,True
C034,3,22,0.09534878852651754,1235.2806007871359,"[0.1, 10.0, 5.869314093306489, 7.642934652354368, 9.305053052334525, 0.040111651556164515, 0.09152657893235995, 7.9, 2.20196036219531, 0.15]",0.47674394263258774,0.5719439466235263,0.8095326676083051,0.9034462475101175,2.3251123318368614,True,0.0,True,True
C034,11,26,0.09539289714736571,1201.055092341012,"[2.0440460370953835, 10.0, 7.127948358725806, 10.0, 10.0, 0.07124592127712225, 0.0, 7.9, 2.2, 0.15]",0.47696448573682854,0.5726872514969386,0.8326012739772582,0.9458303219788771,2.1201982768411467,True,0.0,True,True
C034,3,24,0.09548114630515854,1189.3332336057167,"[0.1, 10.0, 6.203245699487429, 6.722033798934756, 10.0, 0.0328538810613998, 0.07989918299717458, 7.9, 2.2, 0.15]",0.4774057315257927,0.5731470678149188,0.8408072453910055,0.9854671349048647,2.646434988949135,True,0.0,True,True
