case,seed,member,xline_all_values,yline_all_values,X_all_values,area_per_wavelength_mm,inertia_per_wavelength_mm3,effective_Ez_MPa,radius_1_mm,radius_2_mm,feasible,constraint_violation,pareto_member_within_seed
C035,3,0,0.09527437600085839,1.7517096746246366,"[0.1, 10.0, 6.903722358002694, 10.0, 10.0, 0.0, 0.0, 7.9, 2.2, 0.15]",0.4763718800042919,0.5708708551913912,0.7714323335189877,1.0116961980133106,2.102141775634783,True,0.0,True
C035,3,1,0.19301187293382716,0.2896008236768399,"[0.1, 0.1, 10.0, 0.1, 10.0, 0.1968566965461034, 0.047916331255987585, 6.158882500428424, 4.0, 0.25]",0.9650593646691358,3.4530288529699797,13.186314113621226,0.9399120972791567,0.9504860288242613,True,0.0,True
C035,3,2,0.09612701154757752,1.5401766861251949,"[0.1, 10.0, 9.291168386274212, 8.698994223522536, 9.92695539190065, 0.011285615960098359, 0.0, 7.9, 2.351454964797541, 0.15]",0.4806350577378876,0.6492761570854696,0.707280214030899,1.5773771739182307,1.830112553309539,True,0.0,True
C035,3,3,0.09737446071658232,1.2487557758634167,"[0.1, 10.0, 9.011717527738847, 9.837097660743694, 10.0, 0.0, 0.0, 7.9, 2.635901476424518, 0.15]",0.4868723035829116,0.8007970968611364,0.7198459001305912,1.2701182887769173,1.583921417245297,True,0.0,True
C035,3,4,0.1579427061008283,0.3474507586007813,"[0.1, 0.2000318363413518, 8.715192161945312, 0.3144608431171434, 9.579432254880809, 0.014052623239725033, 0.027255795066729385, 7.68641445280424, 4.0, 0.21684383498160514]",0.7897135305041415,2.878105674677757,6.271059212626416,1.3722199704792153,1.4611441661000328,True,0.0,True
C035,3,5,0.09819397922939607,1.1560166347540628,"[0.1, 10.0, 8.578761083703103, 6.109610923671357, 9.979370914907692, 0.013516270180809083, 0.0, 7.9, 2.737964664433847, 0.15]",0.4909698961469804,0.8650394552607328,0.7960901028009036,1.3098200093939578,1.8900229735812226,True,0.0,True
C035,3,6,0.09576182944042615,1.6434543985054968,"[0.1, 10.0, 10.0, 9.055468859820243, 9.705683190961713, 0.0012770541637278504, 0.0, 7.9, 2.2696545568091393, 0.15]",0.47880914720213075,0.6084744431663982,0.682069089151943,1.7309519114230172,1.741431420864536,True,0.0,True
C035,3,7,0.15070040666655662,0.3697092787331948,"[0.1, 5.336556439744568, 9.091040166165142, 0.1, 9.522598282328266, 0.09415239859082095, 0.2200932168406644, 7.899246935082025, 4.0, 0.21011344683778083]",0.7535020333327831,2.704827975717813,6.369029160304892,0.9061343189088207,2.355280651861057,True,0.0,True
C035,3,8,0.09662876905201018,1.4133521756272545,"[0.1, 10.0, 9.96839246531466, 9.518299606282353, 10.0, 0.0850217828866381, 0.085898486893981, 7.9, 2.4634209002336886, 0.15]",0.4831438452600509,0.7075377370514138,0.691197337673185,1.5942252472244838,1.6395763337553482,True,0.0,True
C035,3,9,0.09693346600356455,1.3631536558257231,"[0.1, 10.0, 8.707461130111106, 7.476161293725089, 9.948792708145332, 0.007251354443104481, 0.0, 7.9, 2.510160981000098, 0.15]",0.48466733001782275,0.7335930147905853,0.7419778770130218,1.4104350000245496,1.8929794536480922,True,0.0,True
